차고지,정류장명,위도,경도,순위
New 0,장학LH1단지,37.89635,127.75261,2
New 0,인성병원,37.8811,127.72663,2
Existing 0,장학해온채A,37.89731,127.75391,3
Existing 0,장학해온채A,37.89828,127.75381,3
Existing 0,춘천여고앞,37.88594,127.76149,3
Existing 0,후평동종점,37.89326,127.74865,3
Existing 0,후평동종점,37.89333,127.74889,3
Existing 0,한림대학교,37.88355,127.7384,3
Existing 1,구곡폭포종점,37.79745,127.6165,3
Existing 1,구곡폭포종점,37.79725,127.61677,3
Existing 0,강원고앞,37.89519,127.75523,3
Existing 0,춘천한샘고등학교,37.92521,127.7511,3
Existing 0,소양강댐정상,37.9476,127.81268,3
Existing 0,소양강댐정상,37.94774,127.81209,3
Existing 0,천년나무A,37.91296,127.73764,3
Existing 0,천년나무A,37.91277,127.73747,3
Existing 0,윗샘밭종점,37.93158,127.7914,3
Existing 0,윗샘밭종점,37.9324,127.7921,3
Existing 1,학곡리,37.82284,127.76328,3
Existing 1,학곡리,37.82274,127.76339,3
Existing 0,레고랜드정문,37.88399,127.70002,3
Existing 0,레고랜드정문,37.88412,127.69986,3
Existing 0,춘천역,37.88529,127.71803,3
Existing 0,춘천역,37.88523,127.71817,3
Existing 0,샘밭장터,37.92449,127.7462,3
Existing 0,샘밭장터,37.92457,127.74594,3
New 2,중앙로입구,37.87736,127.72415,3
New 2,중앙로입구,37.87703,127.72307,3
Existing 0,칠전대우A,37.84435,127.71169,3
Existing 0,중앙시장입구,37.87816,127.72459,3
New 2,중앙시장입구,37.87807,127.72437,3
Existing 1,안보2리종점,37.84976,127.57656,3
Existing 1,무림정사입구,37.8642,127.58272,3
Existing 1,안보2리종점,37.84986,127.57648,3
Existing 1,무림정사입구,37.86425,127.58285,3
Existing 0,덕두2리종점,37.88325,127.62954,3
Existing 0,덕두2리종점,37.88318,127.62944,3
Existing 0,장절공,37.90181,127.66181,3
Existing 0,강원생명과학고,37.90903,127.72324,3
Existing 0,강원생명과학고,37.9089,127.72299,3
Existing 0,오탄2리종점,38.05254,127.58156,3
Existing 0,오항리종점,37.97747,127.90438,3
Existing 1,설미종점,37.80995,127.67914,3
Existing 1,설미종점,37.80987,127.6792,3
Existing 1,혈동2리종점,37.78527,127.68743,3
Existing 1,혈동2리종점,37.78542,127.68738,3
Existing 1,홈플러스,37.85084,127.73516,3
Existing 1,홈플러스,37.85085,127.73411,3
Existing 1,증4리종점,37.79878,127.7311,3
Existing 1,강촌역,37.80629,127.6343,3
New 2,가정리종점,37.76329,127.57751,3
Existing 1,산수1리마을회관,37.71401,127.66816,3
Existing 1,산수1리마을회관,37.71395,127.66805,3
Existing 1,백양2리종점,37.79485,127.58239,3
Existing 1,거두리부영A,37.85551,127.75154,3
Existing 1,초록지붕A,37.85329,127.75133,3
Existing 0,거두농공단지종점,37.8671,127.7813,3
Existing 1,석사삼익A,37.8531,127.75114,3
Existing 1,화물공영차고지,37.82181,127.76282,3
Existing 1,화물공영차고지,37.822,127.76246,3
Existing 0,칠전대우A,37.84416,127.71171,3
Existing 0,신북사거리,37.92457,127.7514,3
Existing 0,호반베르디움,37.85716,127.75938,3
Existing 0,한림대학교,37.8831,127.73737,3
Existing 0,한숲시티A,37.85306,127.72954,3
Existing 0,한진한성,37.85942,127.72324,3
Existing 1,현진에버빌1차,37.85038,127.74756,3
Existing 0,장학LH1단지,37.89635,127.75261,3
Existing 0,인성병원,37.8811,127.72663,3
Existing 0,장학해온채A,37.89731,127.75391,4
Existing 0,장학해온채A,37.89828,127.75381,4
Existing 0,춘천여고앞,37.88594,127.76149,4
Existing 0,후평동종점,37.89326,127.74865,4
Existing 0,후평동종점,37.89333,127.74889,4
Existing 0,한림대학교,37.88355,127.7384,4
Existing 1,구곡폭포종점,37.79745,127.6165,4
Existing 1,구곡폭포종점,37.79725,127.61677,4
Existing 0,강원고앞,37.89519,127.75523,4
Existing 0,춘천한샘고등학교,37.92521,127.7511,4
Existing 0,소양강댐정상,37.9476,127.81268,4
Existing 0,소양강댐정상,37.94774,127.81209,4
Existing 0,천년나무A,37.91296,127.73764,4
Existing 0,천년나무A,37.91277,127.73747,4
Existing 0,윗샘밭종점,37.93158,127.7914,4
Existing 0,윗샘밭종점,37.9324,127.7921,4
Existing 1,학곡리,37.82284,127.76328,4
Existing 1,학곡리,37.82274,127.76339,4
Existing 0,레고랜드정문,37.88399,127.70002,4
Existing 0,레고랜드정문,37.88412,127.69986,4
Existing 0,춘천역,37.88529,127.71803,4
Existing 0,춘천역,37.88523,127.71817,4
Existing 0,샘밭장터,37.92449,127.7462,4
Existing 0,샘밭장터,37.92457,127.74594,4
Existing 0,중앙로입구,37.87736,127.72415,4
Existing 0,중앙로입구,37.87703,127.72307,4
Existing 0,칠전대우A,37.84435,127.71169,4
Existing 0,중앙시장입구,37.87816,127.72459,4
Existing 0,중앙시장입구,37.87807,127.72437,4
New 3,안보2리종점,37.84976,127.57656,4
New 3,무림정사입구,37.8642,127.58272,4
Existing 1,안보2리종점,37.84986,127.57648,4
New 3,무림정사입구,37.86425,127.58285,4
New 3,덕두2리종점,37.88325,127.62954,4
New 3,덕두2리종점,37.88318,127.62944,4
New 3,장절공,37.90181,127.66181,4
Existing 0,강원생명과학고,37.90903,127.72324,4
Existing 0,강원생명과학고,37.9089,127.72299,4
New 3,오탄2리종점,38.05254,127.58156,4
Existing 0,오항리종점,37.97747,127.90438,4
Existing 1,설미종점,37.80995,127.67914,4
Existing 1,설미종점,37.80987,127.6792,4
Existing 1,혈동2리종점,37.78527,127.68743,4
Existing 1,혈동2리종점,37.78542,127.68738,4
Existing 1,홈플러스,37.85084,127.73516,4
Existing 1,홈플러스,37.85085,127.73411,4
Existing 1,증4리종점,37.79878,127.7311,4
Existing 1,강촌역,37.80629,127.6343,4
New 3,가정리종점,37.76329,127.57751,4
Existing 1,산수1리마을회관,37.71401,127.66816,4
Existing 1,산수1리마을회관,37.71395,127.66805,4
New 3,백양2리종점,37.79485,127.58239,4
Existing 1,거두리부영A,37.85551,127.75154,4
Existing 1,초록지붕A,37.85329,127.75133,4
Existing 0,거두농공단지종점,37.8671,127.7813,4
Existing 1,석사삼익A,37.8531,127.75114,4
Existing 1,화물공영차고지,37.82181,127.76282,4
Existing 1,화물공영차고지,37.822,127.76246,4
Existing 0,칠전대우A,37.84416,127.71171,4
Existing 0,신북사거리,37.92457,127.7514,4
Existing 0,호반베르디움,37.85716,127.75938,4
Existing 0,한림대학교,37.8831,127.73737,4
Existing 0,한숲시티A,37.85306,127.72954,4
Existing 0,한진한성,37.85942,127.72324,4
Existing 1,현진에버빌1차,37.85038,127.74756,4
Existing 0,장학LH1단지,37.89635,127.75261,4
Existing 0,인성병원,37.8811,127.72663,4
