차고지,위도,경도,면적(m^2),주소
제1공영차고지,37.89493,127.7501,14147,강원도 춘천시 동면 장학리 791-5
제2공영차고지,37.82213,127.7625,4286,강원특별자치도 춘천시 동내면 학곡리
