A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,면적,경도,위도,주차 용량,Cg,alpha,순위,공차거리
5111012100105110000,5111012100,강원특별자치도 춘천시 온의동,1,일반,511,511대,2023,1,1664000,1,772,8,대,28726.9,22,일반상업지역,890,여객자동차터미널,4,사다리형,2,광대소각,2024/01/19,51110,1730000,1680000,1600000,1570000,11169.133,127.719,37.864,111.69133,111,47801561600.0,1,749605354.6412514
5111011700101600022,5111011700,강원특별자치도 춘천시 근화동,1,일반,160-22,160-22잡,2023,1,399300,1,460,28,잡종지,2191.0,32,일반공업지역,420,공업나지,4,사다리형,4,중로한면,2024/01/19,51110,424000,400000,379000,360000,2138.794,127.718,37.886,21.38794,21,874866300.0,2,576847143.1932001
5111033023102190001,5111033023,강원특별자치도 춘천시 신동면 혈동리,1,일반,219-1,219-1잡,2023,1,138900,1,1927,28,잡종지,8887.0,64,계획관리지역,410,공업용,5,부정형,4,중로한면,2024/01/19,51110,149500,141000,132000,125400,4588.639,127.713,37.775,45.88639,45,1234404300.0,3,1407384638.6424003
5111035022110100000,5111035022,강원특별자치도 춘천시 서면 금산리,1,일반,1010,1010 대,2023,1,187000,1,2280,8,대,3177.8,33,준공업지역,420,공업나지,4,사다리형,4,중로한면,2024/01/19,51110,200500,196000,198000,200000,3176.891,127.693,37.896,31.76891,31,594248600.0,4,2272763506.5864296
